[Logger] Training logs will be saved to: workdirs/20251110_150728/logs/train_20251110_150728.log
[Logger] Starting training at 2025-11-10 15:07:36
Averaged stats: lr: 0.000100  class_error: 50.00  loss: 59.1911 (59.1911)  loss_ce: 2.0957 (2.0957)  loss_bbox: 5.5001 (5.5001)  loss_giou: 2.0646 (2.0646)  loss_mask: 0.1289 (0.1289)  loss_dice: 1.5339 (1.5339)  loss_ce_0: 2.1275 (2.1275)  loss_bbox_0: 5.4461 (5.4461)  loss_giou_0: 2.0551 (2.0551)  loss_ce_1: 2.0927 (2.0927)  loss_bbox_1: 5.6163 (5.6163)  loss_giou_1: 2.0556 (2.0556)  loss_ce_2: 1.9606 (1.9606)  loss_bbox_2: 5.7208 (5.7208)  loss_giou_2: 2.0517 (2.0517)  loss_ce_3: 1.7872 (1.7872)  loss_bbox_3: 5.6212 (5.6212)  loss_giou_3: 2.0540 (2.0540)  loss_ce_4: 1.7801 (1.7801)  loss_bbox_4: 5.4413 (5.4413)  loss_giou_4: 2.0577 (2.0577)  loss_ce_unscaled: 2.0957 (2.0957)  class_error_unscaled: 50.0000 (50.0000)  loss_bbox_unscaled: 1.1000 (1.1000)  loss_giou_unscaled: 1.0323 (1.0323)  cardinality_error_unscaled: 84.0000 (84.0000)  loss_mask_unscaled: 0.1289 (0.1289)  loss_dice_unscaled: 1.5339 (1.5339)  loss_ce_0_unscaled: 2.1275 (2.1275)  loss_bbox_0_unscaled: 1.0892 (1.0892)  loss_giou_0_unscaled: 1.0276 (1.0276)  cardinality_error_0_unscaled: 84.0000 (84.0000)  loss_ce_1_unscaled: 2.0927 (2.0927)  loss_bbox_1_unscaled: 1.1233 (1.1233)  loss_giou_1_unscaled: 1.0278 (1.0278)  cardinality_error_1_unscaled: 75.5000 (75.5000)  loss_ce_2_unscaled: 1.9606 (1.9606)  loss_bbox_2_unscaled: 1.1442 (1.1442)  loss_giou_2_unscaled: 1.0258 (1.0258)  cardinality_error_2_unscaled: 77.5000 (77.5000)  loss_ce_3_unscaled: 1.7872 (1.7872)  loss_bbox_3_unscaled: 1.1242 (1.1242)  loss_giou_3_unscaled: 1.0270 (1.0270)  cardinality_error_3_unscaled: 84.0000 (84.0000)  loss_ce_4_unscaled: 1.7801 (1.7801)  loss_bbox_4_unscaled: 1.0883 (1.0883)  loss_giou_4_unscaled: 1.0289 (1.0289)  cardinality_error_4_unscaled: 84.0000 (84.0000)
Averaged stats: class_error: 100.00  loss: 62.8621 (62.8621)  loss_ce: 2.3163 (2.3163)  loss_bbox: 5.8686 (5.8686)  loss_giou: 2.0978 (2.0978)  loss_mask: 0.1360 (0.1360)  loss_dice: 1.4466 (1.4466)  loss_ce_0: 2.2641 (2.2641)  loss_bbox_0: 5.7920 (5.7920)  loss_giou_0: 2.1126 (2.1126)  loss_ce_1: 2.0629 (2.0629)  loss_bbox_1: 5.8631 (5.8631)  loss_giou_1: 2.1061 (2.1061)  loss_ce_2: 2.1496 (2.1496)  loss_bbox_2: 6.0063 (6.0063)  loss_giou_2: 2.0972 (2.0972)  loss_ce_3: 2.1532 (2.1532)  loss_bbox_3: 5.8507 (5.8507)  loss_giou_3: 2.1114 (2.1114)  loss_ce_4: 2.4489 (2.4489)  loss_bbox_4: 5.8872 (5.8872)  loss_giou_4: 2.0915 (2.0915)  loss_ce_unscaled: 2.3163 (2.3163)  class_error_unscaled: 100.0000 (100.0000)  loss_bbox_unscaled: 1.1737 (1.1737)  loss_giou_unscaled: 1.0489 (1.0489)  cardinality_error_unscaled: 81.0000 (81.0000)  loss_mask_unscaled: 0.1360 (0.1360)  loss_dice_unscaled: 1.4466 (1.4466)  loss_ce_0_unscaled: 2.2641 (2.2641)  loss_bbox_0_unscaled: 1.1584 (1.1584)  loss_giou_0_unscaled: 1.0563 (1.0563)  cardinality_error_0_unscaled: 81.0000 (81.0000)  loss_ce_1_unscaled: 2.0629 (2.0629)  loss_bbox_1_unscaled: 1.1726 (1.1726)  loss_giou_1_unscaled: 1.0531 (1.0531)  cardinality_error_1_unscaled: 79.0000 (79.0000)  loss_ce_2_unscaled: 2.1496 (2.1496)  loss_bbox_2_unscaled: 1.2013 (1.2013)  loss_giou_2_unscaled: 1.0486 (1.0486)  cardinality_error_2_unscaled: 81.0000 (81.0000)  loss_ce_3_unscaled: 2.1532 (2.1532)  loss_bbox_3_unscaled: 1.1701 (1.1701)  loss_giou_3_unscaled: 1.0557 (1.0557)  cardinality_error_3_unscaled: 81.0000 (81.0000)  loss_ce_4_unscaled: 2.4489 (2.4489)  loss_bbox_4_unscaled: 1.1774 (1.1774)  loss_giou_4_unscaled: 1.0457 (1.0457)  cardinality_error_4_unscaled: 81.0000 (81.0000)
Accumulating evaluation results...
DONE (t=0.01s).
IoU metric: bbox
 Average Precision  (AP) @[ IoU=0.50:0.95 | area=   all | maxDets=100 ] = 0.000
 Average Precision  (AP) @[ IoU=0.50      | area=   all | maxDets=100 ] = 0.000
 Average Precision  (AP) @[ IoU=0.75      | area=   all | maxDets=100 ] = 0.000
 Average Precision  (AP) @[ IoU=0.50:0.95 | area= small | maxDets=100 ] = 0.000
 Average Precision  (AP) @[ IoU=0.50:0.95 | area=medium | maxDets=100 ] = 0.000
 Average Precision  (AP) @[ IoU=0.50:0.95 | area= large | maxDets=100 ] = 0.000
 Average Recall     (AR) @[ IoU=0.50:0.95 | area=   all | maxDets=  1 ] = 0.000
 Average Recall     (AR) @[ IoU=0.50:0.95 | area=   all | maxDets= 10 ] = 0.000
 Average Recall     (AR) @[ IoU=0.50:0.95 | area=   all | maxDets=100 ] = 0.000
 Average Recall     (AR) @[ IoU=0.50:0.95 | area= small | maxDets=100 ] = 0.000
 Average Recall     (AR) @[ IoU=0.50:0.95 | area=medium | maxDets=100 ] = 0.000
 Average Recall     (AR) @[ IoU=0.50:0.95 | area= large | maxDets=100 ] = 0.000
Training time 0:00:09
